Item,Status,LowestPrice,LowestPriceQtyAtOrAbove,HighestPrice,HighestPriceQtyAtOrBelow
Medkit,Produces,396,8,462,1
Medkit,Normal,522.5,8,577.5,3
Medkit,Needed,653.1,12,756.3,3
Rations,Produces,30.8,60,48.4,18
Rations,Normal,49.5,60,60.5,36
Rations,Needed,61.9,70,89.4,36
Fuel,Produces,0.4,1787,1.3,600
Fuel,Normal,0.8,1773,1.7,898
Fuel,Needed,1,2386,2.8,897
Jewelry,Produces,,,704,3
Relics,Produces,,,704,1
Eggs,Normal,,,77,25
Flour,Produces,13.2,90,26.4,18
Venison,Needed,,,44,
Rations,Produces,30.8,60,48.4,18
Rations,Produces,30.8,60,48.4,18
Rations,Produces,30.8,60,48.4,18
Rations,Normal,49.5,60,60.5,36
Rations,Needed,,,89.4,36
Fuel,Normal,0.8,1775,1.7,854
